Yidx: 54171, Block: 0, Thread: 6,  Cvals: 0.000000000000(48), z_elem: -0.000213438337(24), local_sum: 0.000000000000
Yidx: 54171, Block: 0, Thread: 6,  Cvals: 0.000013578526(51), z_elem: 0.000002076572(25), local_sum: 0.000000000028
Yidx: 54171, Block: 0, Thread: 6,  Cvals: -0.000022822643(54), z_elem: -0.000012848656(26), local_sum: 0.000000000321
Yidx: 54171, Block: 0, Thread: 6,  Cvals: -0.000000024673(57), z_elem: -127726.694151191317(27), local_sum: 0.003151384082
Yidx: 54172, Block: 0, Thread: 6,  Cvals: 0.000000000000(49), z_elem: -0.000213438337(24), local_sum: 0.000000000000
Yidx: 54172, Block: 0, Thread: 6,  Cvals: 0.000000005289(52), z_elem: 0.000002076572(25), local_sum: 0.000000000000
Yidx: 54172, Block: 0, Thread: 6,  Cvals: -0.000000008891(55), z_elem: -0.000012848656(26), local_sum: 0.000000000000
Yidx: 54172, Block: 0, Thread: 6,  Cvals: -0.000000000010(58), z_elem: -127726.694151191317(27), local_sum: 0.000001227617
Yidx: 54173, Block: 0, Thread: 6,  Cvals: 0.000000000000(50), z_elem: -0.000213438337(24), local_sum: 0.000000000000
Yidx: 54173, Block: 0, Thread: 6,  Cvals: 0.001467886896(53), z_elem: 0.000002076572(25), local_sum: 0.000000003048
Yidx: 54173, Block: 0, Thread: 6,  Cvals: -0.002467208851(56), z_elem: -0.000012848656(26), local_sum: 0.000000034748
Yidx: 54173, Block: 0, Thread: 6,  Cvals: -0.000002667225(59), z_elem: -127726.694151191317(27), local_sum: 0.340675819036
Yidx: 54243, Block: 0, Thread: 7,  Cvals: 0.000000000000(60), z_elem: -0.000231204651(28), local_sum: 0.000000000000
Yidx: 54243, Block: 0, Thread: 7,  Cvals: 0.000000022637(63), z_elem: 0.000002778037(29), local_sum: 0.000000000000
Yidx: 54243, Block: 0, Thread: 7,  Cvals: -0.000000038061(66), z_elem: -0.000015932014(30), local_sum: 0.000000000001
Yidx: 54243, Block: 0, Thread: 7,  Cvals: -0.000000000999(69), z_elem: -127672.610272483944(31), local_sum: 0.000127603663
Yidx: 54244, Block: 0, Thread: 7,  Cvals: 0.000000000000(61), z_elem: -0.000231204651(28), local_sum: 0.000000000000
Yidx: 54244, Block: 0, Thread: 7,  Cvals: 0.000000000007(64), z_elem: 0.000002778037(29), local_sum: 0.000000000000
Yidx: 54244, Block: 0, Thread: 7,  Cvals: -0.000000000012(67), z_elem: -0.000015932014(30), local_sum: 0.000000000000
Yidx: 54244, Block: 0, Thread: 7,  Cvals: -0.000000000000(70), z_elem: -127672.610272483944(31), local_sum: 0.000000038703
Yidx: 54245, Block: 0, Thread: 7,  Cvals: 0.000000000000(62), z_elem: -0.000231204651(28), local_sum: 0.000000000000
Yidx: 54245, Block: 0, Thread: 7,  Cvals: 0.000002448704(65), z_elem: 0.000002778037(29), local_sum: 0.000000000007
Yidx: 54245, Block: 0, Thread: 7,  Cvals: -0.000004117229(68), z_elem: -0.000015932014(30), local_sum: 0.000000000072
Yidx: 54245, Block: 0, Thread: 7,  Cvals: -0.000000108115(71), z_elem: -127672.610272483944(31), local_sum: 0.013803313472
Yidx: 54249, Block: 0, Thread: 9,  Cvals: 0.000000000000(72), z_elem: -0.000054186473(36), local_sum: 0.000000000000
Yidx: 54249, Block: 0, Thread: 9,  Cvals: -0.000036040919(75), z_elem: 0.000002657187(37), local_sum: -0.000000000096
Yidx: 54249, Block: 0, Thread: 9,  Cvals: 0.000060574694(78), z_elem: -0.000015135695(38), local_sum: -0.000000001013
Yidx: 54249, Block: 0, Thread: 9,  Cvals: -0.000000024913(81), z_elem: -127659.584701195243(39), local_sum: 0.003180416463
Yidx: 54250, Block: 0, Thread: 9,  Cvals: 0.000000000000(73), z_elem: -0.000054186473(36), local_sum: 0.000000000000
Yidx: 54250, Block: 0, Thread: 9,  Cvals: -0.000000005591(76), z_elem: 0.000002657187(37), local_sum: -0.000000000000
Yidx: 54250, Block: 0, Thread: 9,  Cvals: 0.000000009396(79), z_elem: -0.000015135695(38), local_sum: -0.000000000000
Yidx: 54250, Block: 0, Thread: 9,  Cvals: -0.000000000004(82), z_elem: -127659.584701195243(39), local_sum: 0.000000493338
Yidx: 54251, Block: 0, Thread: 9,  Cvals: 0.000000000000(74), z_elem: -0.000054186473(36), local_sum: 0.000000000000
Yidx: 54251, Block: 0, Thread: 9,  Cvals: -0.003903060292(77), z_elem: 0.000002657187(37), local_sum: -0.000000010371
Yidx: 54251, Block: 0, Thread: 9,  Cvals: 0.006559951630(80), z_elem: -0.000015135695(38), local_sum: -0.000000109661
Yidx: 54251, Block: 0, Thread: 9,  Cvals: -0.000002697989(83), z_elem: -127659.584701195243(39), local_sum: 0.344423994708
Yidx: 54252, Block: 0, Thread: 10,  Cvals: 0.000000000000(84), z_elem: 0.000103675428(40), local_sum: 0.000000000000
Yidx: 54252, Block: 0, Thread: 10,  Cvals: -0.000036705161(87), z_elem: 0.000003839539(41), local_sum: -0.000000000141
Yidx: 54252, Block: 0, Thread: 10,  Cvals: 0.000061671139(90), z_elem: -0.000020287404(42), local_sum: -0.000000001392
Yidx: 54252, Block: 0, Thread: 10,  Cvals: -0.000000025117(93), z_elem: -127678.627067088630(43), local_sum: 0.003206873620
Yidx: 54253, Block: 0, Thread: 10,  Cvals: 0.000000000000(85), z_elem: 0.000103675428(40), local_sum: 0.000000000000
Yidx: 54253, Block: 0, Thread: 10,  Cvals: -0.000000004977(88), z_elem: 0.000003839539(41), local_sum: -0.000000000000
Yidx: 54253, Block: 0, Thread: 10,  Cvals: 0.000000008362(91), z_elem: -0.000020287404(42), local_sum: -0.000000000000
Yidx: 54253, Block: 0, Thread: 10,  Cvals: -0.000000000003(94), z_elem: -127678.627067088630(43), local_sum: 0.000000434846
Yidx: 54254, Block: 0, Thread: 10,  Cvals: 0.000000000000(86), z_elem: 0.000103675428(40), local_sum: 0.000000000000
Yidx: 54254, Block: 0, Thread: 10,  Cvals: -0.003975590616(89), z_elem: 0.000003839539(41), local_sum: -0.000000015264
Yidx: 54254, Block: 0, Thread: 10,  Cvals: 0.006679692882(92), z_elem: -0.000020287404(42), local_sum: -0.000000150778
Yidx: 54254, Block: 0, Thread: 10,  Cvals: -0.000002720435(95), z_elem: -127678.627067088630(43), local_sum: 0.347341254738
Yidx: 54264, Block: 0, Thread: 14,  Cvals: 0.000000000000(96), z_elem: -0.000741365773(56), local_sum: 0.000000000000
